what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1378634617846
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1378634618015
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1378634633142
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1378634677786
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1378634685052
started,bundle,org.eclipse.wst.server.core,1.1.304.v20120208_1420,"org.eclipse.wst.server.core",1378634685145
started,bundle,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui",1378634685155
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1378634685194
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1378634685242
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1378634685375
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1378634688249
started,bundle,org.eclipse.wst.common.frameworks,1.2.102.v201201190400,"org.eclipse.wst.common.frameworks",1378634688347
started,bundle,org.eclipse.jem.util,2.1.100.v201103021400,"org.eclipse.jem.util",1378634688360
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1378634688363
started,bundle,org.eclipse.wst.common.modulecore,1.2.103.v201201190400,"org.eclipse.wst.common.modulecore",1378634688388
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1378634692597
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1378634695767
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1378634696629
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1378634777716
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1378634777735
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1378634785076
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1378634788714
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1378634792427
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1378634850340
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1378634852966
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1378634859109
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1378634861496
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1378634865155
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1378634866855
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1378634867806
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1378634876054
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1378634880850
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1378634891656
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1378634900349
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1378634906106
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1378634909541
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1378634909687
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1378634915237
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1378634927269
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1378634936365
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1378634968706
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1378634976985
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1378634981213
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1378634981321
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1378634985492
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1378634989554
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1378634993326
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1378635014081
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1378635019173
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1378635023756
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1378635027303
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1378635031019
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1378635034700
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1378635040999
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1378635042501
