what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1375013965531
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375013978545
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375014044232
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375014044258
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375014045392
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375014045502
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375014046451
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1375014047624
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1375014048350
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1375014052360
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375014069501
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375014097617
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1375014097641
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1375014103021
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1375014110724
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1375014116353
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1375014118221
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1375014124371
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1375014151887
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375014168759
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375014194260
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375014206297
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375014250900
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1375014250928
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1375014254402
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375014274616
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375014288946
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1375014289941
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375014297041
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375014321730
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1375014321755
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1375014324826
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1375014332666
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1375014339464
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1375014344187
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1375014344240
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1375014346986
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1375014347241
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1375014353175
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375014365660
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375014381972
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1375014381981
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375014389582
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1375014390544
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375014390559
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1375014390591
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1375014394031
started,bundle,org.eclipse.wst.server.core,1.1.304.v20120208_1420,"org.eclipse.wst.server.core",1375014414247
started,bundle,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui",1375014414260
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375014417729
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375014418367
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1375014418369
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1375014444096
started,bundle,org.eclipse.jpt.jaxb.ui,1.1.2.v201201260000,"org.eclipse.jpt.jaxb.ui",1375014444114
started,bundle,org.eclipse.jpt.jpa.ui,3.0.2.v201201243020,"org.eclipse.jpt.jpa.ui",1375014444122
started,bundle,org.eclipse.jst.ws.jaxws.ui,1.0.100.v201104032053,"org.eclipse.jst.ws.jaxws.ui",1375014444134
started,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1375014444137
started,bundle,org.eclipse.pde.api.tools,1.0.301.v20111129-2053,"org.eclipse.pde.api.tools",1375014444161
started,bundle,org.eclipse.pde.api.tools.ui,1.0.301.v20110803_r371,"org.eclipse.pde.api.tools.ui",1375014444162
started,bundle,org.eclipse.jpt.jaxb.core,1.0.2.v201111103010,"org.eclipse.jpt.jaxb.core",1375014444251
started,bundle,org.eclipse.wb.os,1.5.0.r37x201206051058,"org.eclipse.wb.os",1375014447033
started,bundle,org.eclipse.wb.os.win32,1.5.0.r37x201206051058,"org.eclipse.wb.os.win32",1375014447037
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375014448688
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375014448893
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375014452164
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375014878262
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1375014880684
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1375014883437
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1375014890638
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1375014895132
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375014908044
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375017199617
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1375017271055
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375017271965
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375017272443
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375017300767
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375017320011
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1375017343868
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1375017355277
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375017355957
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375017844844
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1375017845511
