what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375012875604
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.garbagecollector",1375012877661
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375012890412
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375012963092
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1375012964801
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1375012966903
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1375012968932
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1375012971692
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1375012980170
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375012987312
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375012991222
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1375012991231
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375012994739
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375013033365
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1375013038392
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1375013044250
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1375013049498
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375013056467
