what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421947662307
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421947662317
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421947663187
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421947685248
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421947687398
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421947688404
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1421947709488
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1421947719149
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421947719575
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1421947719591
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421947723255
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1421947729454
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421947730334
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1421947731031
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421947742380
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1421947743784
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421947743978
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1421947744329
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421947750927
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421947753631
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421947756349
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1421947757873
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421947758286
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1421947758762
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421947766031
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1421947774809
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1421947776656
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421947779878
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421947781142
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421947781297
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421947782305
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421947788193
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421947791863
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421947791876
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421947791894
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421947792766
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421947805344
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421947815363
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421947816577
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421947816732
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421947817660
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1421947828162
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1421947834552
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421947835589
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421947842113
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1421947842124
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1421947847255
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1421947847521
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421947854421
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421947854531
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1421947855705
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421947856676
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421947858492
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1421947865181
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1421947870384
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1421947876505
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1421947890707
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1421947892407
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1421947900386
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1421947902504
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1421947904030
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421947905167
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421947906300
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1421947912983
