what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1375006969860
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1375006978529
started,bundle,org.eclipse.jpt.jaxb.ui,1.1.2.v201201260000,"org.eclipse.jpt.jaxb.ui",1375006978539
started,bundle,org.eclipse.jpt.jpa.ui,3.0.2.v201201243020,"org.eclipse.jpt.jpa.ui",1375006978552
started,bundle,org.eclipse.jpt.common.core,1.0.2.v201111103010,"org.eclipse.jpt.common.core",1375006978567
started,bundle,org.eclipse.jpt.jpa.core,3.0.2.v201201243020,"org.eclipse.jpt.jpa.core",1375006978572
started,bundle,org.eclipse.jst.ws.jaxws.ui,1.0.100.v201104032053,"org.eclipse.jst.ws.jaxws.ui",1375006978594
started,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1375006978597
started,bundle,org.eclipse.pde.api.tools,1.0.301.v20111129-2053,"org.eclipse.pde.api.tools",1375006978634
started,bundle,org.eclipse.pde.api.tools.ui,1.0.301.v20110803_r371,"org.eclipse.pde.api.tools.ui",1375006978635
started,bundle,org.eclipse.jpt.jaxb.core,1.0.2.v201111103010,"org.eclipse.jpt.jaxb.core",1375006978815
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1375006990710
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375006992524
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375007004523
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1375007036426
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375007037530
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375007037715
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1375007041171
started,bundle,org.eclipse.wst.xsl.debug.ui,1.0.200.v201101281837,"org.eclipse.wst.xsl.debug.ui",1375007077600
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1375007086350
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375007091504
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375007092896
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1375007143530
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375007252642
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375007252785
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375007521417
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375007599498
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1375007648082
started,bundle,org.eclipse.mylyn.resources.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.resources.ui",1375007651823
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1375007651962
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1375007652027
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1375007661601
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1375007661883
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1375007661940
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1375007665806
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1375007668135
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1375007668189
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375007713521
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375008119362
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1375008119383
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375008132545
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375008235162
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1375008235907
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375008328162
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375008525771
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375008535230
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375008556807
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1375008564683
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1375008565540
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1375008574404
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1375008574641
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1375008575472
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1375008575994
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1375008576754
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1375008578844
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375008583296
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375008595559
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1375008595646
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1375008595703
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1375008596803
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1375008599447
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1375008611726
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1375008615042
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1375008615293
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1375008620419
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375008622731
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375008625963
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1375008626025
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1375008626074
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1375008628780
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1375008630822
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1375008635475
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1375008636261
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1375008639110
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1375008639322
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1375008642641
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1375008643588
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1375008643801
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1375008645003
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1375008648290
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1375008658534
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1375008667296
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1375008669235
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1375008675265
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375008680622
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.300.v201104272153,"org.eclipse.wst.jsdt.manipulation",1375008684433
started,bundle,org.eclipse.wst.jsdt.core,1.1.102.v201111090634,"org.eclipse.wst.jsdt.core",1375008684539
started,bundle,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui",1375008684590
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1375008684699
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375008684741
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1375008684746
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1375008688456
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1375008692748
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1375008694782
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1375008695009
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1375008695708
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1375008695956
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1375008698941
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1375008699203
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1375008699250
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375008700950
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375008747430
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1375008795304
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1375008795803
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1375008795836
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1375008795869
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1375008795902
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1375008795935
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1375008795968
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1375008796001
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1375008796034
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1375008796067
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1375008796297
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1375008796671
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375008834990
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375009007921
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375009035256
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375009080364
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1375009084313
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375009099284
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375009247429
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1375009250367
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1375009251946
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375009399095
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375009399222
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375009400827
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375009447753
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1375009576788
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1375009583565
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1375009719008
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1375009750031
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375009769125
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375009769513
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1375009827732
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375009897807
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375009907028
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375010005766
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375010175309
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1375010227271
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1375010289339
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordNext",1375010289343
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1375010311029
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375010325375
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375010325901
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1375010325906
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1375010325906
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375010326651
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375010327143
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1375010327148
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1375010327148
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375010328432
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375010334140
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1375010334145
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1375010334145
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1375010489918
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375010492601
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375010518911
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1375010521211
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1375010527355
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1375010593446
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1375010596740
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1375010597027
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1375010599229
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1375010599499
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375010627662
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375011908392
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375011932186
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375011982929
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375011982970
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375011985074
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375011985094
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375011987799
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375011988836
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375011993435
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375011993461
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375011994982
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375011994997
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375011996692
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375011998583
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375012015732
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1375012015745
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1375012019439
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375012021103
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375012021260
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.300.v201108240515,"org.eclipse.wst.ws.service.policy.ui",1375012037652
started,bundle,org.eclipse.wst.ws.service.policy,1.0.303.v201009221810,"org.eclipse.wst.ws.service.policy",1375012037657
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1375012037685
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1375012037685
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375012039419
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375012041350
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1375012041355
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1375012041355
