what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1420727987345
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1420727990918
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1420727995752
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1420728001586
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1420728003523
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1420728004795
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420728006732
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.open.hierarchy",1420728006752
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420728008905
error,log,,,"Element unsupported by the hierarchy: class org.eclipse.jdt.internal.core.ImportContainer",1420728009832
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420728009835
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.open.hierarchy",1420728009848
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420728010523
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1420728011476
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1420728011771
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1420728015466
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1420728038524
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420728044114
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.open.hierarchy",1420728044136
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420728045579
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420728046178
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.open.hierarchy",1420728046232
no handler,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1420728049218
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420728050086
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1420728050675
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1420728052122
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420728054799
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420728115478
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1420728115510
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420728117337
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420728128270
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1420728128279
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1420728129510
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420728135610
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420728170806
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1420728172944
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1420728175556
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1420728183954
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1420728209305
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420728214581
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420728218600
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1420728220976
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1420728221900
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420728237538
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420728255765
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1420728259402
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1420728261437
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1420728261521
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1420728270576
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420728273359
started,bundle,org.eclipse.jst.j2ee.core,1.2.102.v201202090300,"org.eclipse.jst.j2ee.core",1420728275002
started,bundle,org.eclipse.jem,2.0.501.v201111030500,"org.eclipse.jem",1420728275026
started,bundle,org.eclipse.wst.xml.core,1.1.602.v201201091944,"org.eclipse.wst.xml.core",1420728275067
started,bundle,org.eclipse.wst.validation,1.2.303.v201202090300,"org.eclipse.wst.validation",1420728275082
started,bundle,org.eclipse.jst.j2ee,1.1.503.v201202090300,"org.eclipse.jst.j2ee",1420728275121
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.300.v201104272153,"org.eclipse.wst.jsdt.manipulation",1420728275238
started,bundle,org.eclipse.wst.jsdt.core,1.1.102.v201111090634,"org.eclipse.wst.jsdt.core",1420728275396
started,bundle,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui",1420728275445
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420728275758
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1420728275768
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1420728275816
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1420728281843
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1420728286948
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1420728287036
